,"""Agents of S.H.I.E.L.D.""",In Your Eyes,Much Ado About Nothing,The Cabin in the Woods,"""Dollhouse""","""Dr. Horrible's Sing-Along Blog""","""Angel""","""Firefly""","""Buffy the Vampire Slayer"""
"Kazann, Zitto",0,0,0,0,0,0,1,0,1
"Ali, Asif (IV)",1,0,0,0,0,0,0,0,0
"McGee, Jack (I)",0,0,0,0,0,0,0,0,1
"Kropinski, Kasha",0,0,0,0,0,0,1,0,0
"Scarry, Rick",0,0,0,0,0,0,0,0,1
"Taylor, Casey (I)",0,0,1,0,0,0,0,0,0
"Raman, Anil",0,0,0,0,0,0,0,0,1
"Flanders, Chris (I)",0,0,0,0,0,0,1,0,0
"Charles, Martin (II)",0,0,1,0,0,0,0,0,0
"Wordie, Ed",0,0,0,0,1,0,0,0,0
"Wolfe, Chris (I)",1,0,0,0,0,0,0,0,0
"Hamm, Scott",0,0,0,0,0,0,0,0,1
"McCarthy, Roderick",0,0,0,0,0,0,0,1,0
"Weeden, April",0,0,0,0,0,0,0,0,1
"Rusler, Morgan",0,0,0,0,0,0,0,1,0
"Solodkin, Stacy",0,0,0,0,0,0,1,0,0
"Coltan, Seth",0,0,0,0,0,0,0,0,1
"Werner, Rich (I)",0,0,0,0,0,0,0,0,1
"Duncan, Greg (V)",1,0,0,0,0,0,0,0,0
"Plotnick, Jack",0,0,0,0,0,0,0,0,1
"Callahan, Matt (II)",0,1,0,0,0,0,0,0,0
"Dryborough, Brad",0,0,0,1,0,0,0,0,0
"Black, Heather (I)",0,0,0,0,0,0,0,1,0
"Leake, Damien",0,0,0,0,1,0,0,0,0
"Franco, Julian (I)",0,0,0,0,0,0,0,0,1
"Glazer, Jeremy",0,0,0,0,0,0,1,0,0
"Tuchman, David (I)",0,0,0,0,0,0,0,0,1
"Solan, Sean",0,0,0,0,1,0,0,0,0
"Rocha, Kali",0,0,0,0,0,0,0,0,1
"Hinkley, Tommy",0,0,0,0,0,0,1,0,0
"Guskin, Jeremy",0,0,0,0,0,0,1,0,0
"Hilton, Naiby",0,0,1,0,0,0,0,0,0
"Hood, Adrian (I)",0,0,1,0,0,0,0,0,0
